ID,Array
0,"1,3,1,1,2,2,1,1"
1,"1,2,2,1,1,3,1,1"
2,"1,2,1,1,1,1,1,4"
3,"1,1,1,1,1,2,1,4"
4,"1,2,2,2,1,3,2,2"
5,"2,3,1,2,2,2,1,2"
6,"1,3,1,1,2,2,2,2"
7,"1,2,2,2,2,1,1,3"
8,"1,1,3,1,1,2,1,1"
9,"1,2,1,1,3,1,1,1"
10,"1,3,1,1,1,2,2,2"
11,"2,2,1,1,1,3,1,2"
12,"2,1,1,3,2,1,1,1"
13,"2,3,1,1,2,1,1,1"
14,"1,2,2,1,1,1,1,3"
15,"1,1,2,2,1,3,1,1"
16,"1,2,1,3,1,1,1,1"
17,"1,1,1,3,1,2,1,1"
18,"1,1,2,3,1,3,1,1"
19,"1,1,1,3,1,3,2,1"
20,"1,1,2,1,1,1,1,4"
21,"4,1,1,1,1,2,1,1"
22,"1,1,1,4,2,1,1,1"
23,"1,1,1,2,4,1,1,1"
24,"1,1,4,1,3,1,1,1"
25,"1,1,1,3,1,4,1,1"
26,"1,1,1,4,3,1,1,1"
27,"1,1,1,3,4,1,1,1"
28,"1,1,2,4,3,1,1,1"
29,"1,1,1,3,4,2,1,1"
30,"1,2,1,3,4,2,1,1"
31,"1,1,2,4,3,1,2,1"
32,"1,2,4,2,3,1,1,1"
33,"1,1,1,3,2,4,2,1"
